timestamp,gpu_label,gpu_name,gpu_uuid,pytorch_version,cuda_runtime,N,precision,warmup,repetitions,median_ms,mean_ms,stdev_ms,achieved_tflops,status,error,theoretical_tflops,percent_theoretical
2026-09-10T15:27:58.326332,4090,NVIDIA GeForce RTX 4090,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2.11.0+cu128,12.8,1024,FP32,5,20,0.05734400078654289,0.060347200371325016,0.00537598281114194,37.449142343482194,SUCCESS,,82.6,45.337944725765375
2026-09-10T15:27:58.394236,4090,NVIDIA GeForce RTX 4090,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2.11.0+cu128,12.8,4096,FP32,5,20,2.48470401763916,2.4790063738822936,0.08562952315446527,55.31401426339204,SUCCESS,,82.6,66.96611896294436
2026-09-10T15:27:58.909566,4090,NVIDIA GeForce RTX 4090,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2.11.0+cu128,12.8,8192,FP32,5,20,19.99611186981201,20.00264654159546,0.20564640974656198,54.98627107782513,SUCCESS,,82.6,66.56933544530888
2026-09-10T15:28:03.293822,4090,NVIDIA GeForce RTX 4090,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2.11.0+cu128,12.8,16384,FP32,5,20,173.1869125366211,173.52252426147462,3.1038196232802195,50.789594279233015,SUCCESS,,82.6,61.488612928853534
2026-09-10T15:28:03.297463,4090,NVIDIA GeForce RTX 4090,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2.11.0+cu128,12.8,1024,TF32,5,20,0.05222399905323982,0.052390399388968945,0.0013683452055132375,41.120628196449395,SUCCESS,,82.6,49.782842852844304
2026-09-10T15:28:03.348530,4090,NVIDIA GeForce RTX 4090,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2.11.0+cu128,12.8,4096,TF32,5,20,1.6731359958648682,1.7273503839969635,0.11280947620474768,82.14452011771813,SUCCESS,,82.6,99.44857157108733
2026-09-10T15:28:03.680274,4090,NVIDIA GeForce RTX 4090,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2.11.0+cu128,12.8,8192,TF32,5,20,12.494336128234863,12.475467252731324,0.21536654321968682,88.00080424371721,SUCCESS,,82.6,106.53850392701843
2026-09-10T15:28:06.280014,4090,NVIDIA GeForce RTX 4090,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2.11.0+cu128,12.8,16384,TF32,5,20,101.45638275146484,101.56398010253906,1.7192057508317575,86.69827154941616,SUCCESS,,82.6,104.96158783222296
2026-09-10T15:28:06.361306,4090,NVIDIA GeForce RTX 4090,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2.11.0+cu128,12.8,1024,FP16,5,20,0.030559999868273735,0.03261440023779869,0.005402666587148679,70.2710620830021,SUCCESS,,165.2,42.53696251997707
2026-09-10T15:28:06.385806,4090,NVIDIA GeForce RTX 4090,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2.11.0+cu128,12.8,4096,FP16,5,20,0.811519980430603,0.8521711975336075,0.11389679086844717,169.3599132322942,SUCCESS,,165.2,102.51810728347107
2026-09-10T15:28:06.562714,4090,NVIDIA GeForce RTX 4090,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2.11.0+cu128,12.8,8192,FP16,5,20,6.778111934661865,6.673831987380981,0.19370369555559153,162.21502955023868,SUCCESS,,165.2,98.19311716116144
2026-09-10T15:28:08.004701,4090,NVIDIA GeForce RTX 4090,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2.11.0+cu128,12.8,16384,FP16,5,20,55.93395233154297,56.58712921142578,2.4232454742808778,157.25856399472772,SUCCESS,,165.2,95.19283534789814
2026-09-10T15:28:08.080366,4090,NVIDIA GeForce RTX 4090,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2.11.0+cu128,12.8,1024,BF16,5,20,0.026623999699950218,0.027615999802947044,0.0030793593957655144,80.65969321671888,SUCCESS,,165.2,48.82548015539884
2026-09-10T15:28:08.106554,4090,NVIDIA GeForce RTX 4090,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2.11.0+cu128,12.8,4096,BF16,5,20,0.8786559998989105,0.8948847979307175,0.06351205794138788,156.419524236803,SUCCESS,,165.2,94.68494203196308
2026-09-10T15:28:08.282605,4090,NVIDIA GeForce RTX 4090,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2.11.0+cu128,12.8,8192,BF16,5,20,6.676367998123169,6.653135991096496,0.09234279209066804,164.68709155712952,SUCCESS,,165.2,99.6895227343399
2026-09-10T15:28:09.680788,4090,NVIDIA GeForce RTX 4090,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2.11.0+cu128,12.8,16384,BF16,5,20,54.897071838378906,54.51342239379883,1.281016856323715,160.22881963730885,SUCCESS,,165.2,96.99081091846783
